,instance_indexinmglist,study_instance_indexinmglist
146775,1341595_1,68398_1341595_1
146810,1341631_0,68399_1341631_0
146814,1341631_1,68399_1341631_1
146895,1342009_0,68411_1342009_0
146899,1342009_1,68411_1342009_1
146926,1342015_0,68411_1342015_0
146930,1342015_1,68411_1342015_1
146953,1342074_0,68412_1342074_0
146957,1342074_1,68412_1342074_1
146961,1342076_0,68412_1342076_0
146965,1342076_1,68412_1342076_1
146974,1342164_0,68420_1342164_0
146978,1342164_1,68420_1342164_1
146996,1342424_0,68431_1342424_0
147000,1342424_1,68431_1342424_1
147022,1343256_0,68463_1343256_0
147026,1343256_1,68463_1343256_1
147051,1343320_0,68466_1343320_0
147055,1343320_1,68466_1343320_1
147069,1343398_1,68473_1343398_1
147071,1343398_0,68473_1343398_0
147090,1343414_0,68473_1343414_0
147094,1343414_1,68473_1343414_1
147118,1343493_0,68478_1343493_0
147122,1343493_1,68478_1343493_1
147177,1343620_0,68487_1343620_0
147181,1343620_1,68487_1343620_1
147198,1343634_0,68487_1343634_0
147202,1343634_1,68487_1343634_1
147215,1343674_0,68489_1343674_0
147219,1343674_1,68489_1343674_1
147249,1343705_0,68491_1343705_0
147250,1343743_0,68491_1343743_0
147257,1343705_1,68491_1343705_1
147258,1343743_1,68491_1343743_1
147277,1343744_0,68491_1343744_0
147281,1343744_1,68491_1343744_1
147290,1344122_0,68511_1344122_0
147294,1344122_1,68511_1344122_1
147321,1344111_0,68512_1344111_0
147322,1344146_0,68512_1344146_0
147333,1344111_1,68512_1344111_1
147334,1344146_1,68512_1344146_1
